GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-app,com.ucoruh.calculator,Calculator,0,18,0,0,0,5,0,3,0,3
calculator-app,com.ucoruh.calculator,CalculatorApp,0,51,2,4,0,17,2,4,0,3
